Date,AMZN,CAT,DE,EXC,GOOG,JNJ,JPM,META,PFE,PG
2015-10-26,30.430500030517578,56.34441375732422,65.78197479248047,14.724888801574707,35.47099304199219,76.24290466308594,49.2293586730957,103.2832260131836,21.62349510192871,59.675716400146484
2015-10-27,30.550500869750977,55.45417785644531,64.6023178100586,14.411920547485352,35.257503509521484,76.4336166381836,49.02903747558594,103.21354675292969,22.148893356323242,59.52168655395508
2015-10-28,30.854999542236328,56.698936462402344,67.00408172607422,14.416969299316406,35.47945022583008,76.65486145019531,50.462013244628906,103.7112045288086,22.440074920654297,58.92101287841797
2015-10-29,31.327499389648438,56.698936462402344,66.4015121459961,14.432109832763672,35.67702102661133,77.33383178710938,50.23859405517578,104.38801574707031,22.009634017944336,59.31376647949219
2015-10-30,31.295000076293945,57.50250244140625,66.1978530883789,14.093901634216309,35.37295913696289,77.07444763183594,49.499000549316406,101.4916763305664,21.408281326293945,58.82089614868164
2015-11-02,31.417499542236328,58.56605529785156,68.05647277832031,14.32105541229248,35.88553237915039,77.94412994384766,50.49284362792969,102.82538604736328,22.19321060180664,58.990325927734375
2015-11-03,31.265499114990234,58.889034271240234,67.50484466552734,14.3917236328125,35.937782287597656,77.78394317626953,50.677734375,102.09880828857422,22.136232376098633,59.33686447143555
2015-11-04,32.04750061035156,58.73149490356445,66.4015121459961,14.689558982849121,36.2338752746582,77.7686767578125,50.73166275024414,103.45243072509766,21.785268783569336,59.34457778930664
2015-11-05,32.782501220703125,58.47150802612305,66.138427734375,14.507835388183594,36.39014434814453,78.06621551513672,51.18621063232422,108.24982452392578,21.791650772094727,58.82860565185547
2015-11-06,32.96849822998047,58.172142028808594,65.78197479248047,14.179717063903809,36.515045166015625,77.75341796875,52.7424201965332,106.59760284423828,21.65126609802246,58.19711685180664
2015-11-09,32.77450180053711,56.63592529296875,64.70413970947266,14.54316234588623,36.07363510131836,76.92949676513672,51.91810607910156,105.99046325683594,21.472591400146484,58.06619644165039
2015-11-10,32.98400115966797,57.06131362915039,64.72958374023438,14.665632247924805,36.244327545166016,77.39484405517578,52.141502380371094,107.40380859375,21.56193733215332,58.351139068603516
2015-11-11,33.662498474121094,56.65167236328125,63.694190979003906,14.73197078704834,36.59666442871094,77.7076644897461,51.88727951049805,108.49864196777344,21.5300235748291,58.49744415283203
2015-11-12,33.279998779296875,54.09128189086914,62.183528900146484,14.573787689208984,36.38914489746094,76.49464416503906,50.847225189208984,107.51329040527344,21.306684494018555,57.49631118774414
2015-11-13,32.11750030517578,54.855445861816406,63.3547248840332,14.46152400970459,35.68099594116211,76.19712829589844,50.508243560791016,103.46238708496094,21.230113983154297,56.95722961425781
2015-11-16,32.390499114990234,55.45417785644531,63.405643463134766,14.619709968566895,36.276180267333984,77.21939086914062,51.24013137817383,103.55195617675781,21.15991973876953,57.98919677734375
2015-11-17,32.165000915527344,54.6663818359375,62.63335418701172,14.129837989807129,36.09403991699219,77.43299102783203,50.947364807128906,104.63684844970703,20.97486686706543,57.81206130981445
2015-11-18,33.176998138427734,55.3990478515625,63.244380950927734,14.349255561828613,36.8255729675293,78.32557678222656,51.96432113647461,107.26445770263672,21.255640029907227,58.451236724853516
2015-11-19,33.063499450683594,55.162696838378906,63.600860595703125,14.369670867919922,36.746456146240234,78.18824768066406,52.1261100769043,105.76154327392578,20.604761123657227,58.69767379760742
2015-11-20,33.42250061035156,56.0450439453125,64.05913543701172,14.288018226623535,37.65166473388672,78.75694274902344,52.033653259277344,106.81658172607422,20.534561157226562,58.3896369934082
2015-11-23,33.949501037597656,55.950523376464844,63.32078552246094,14.119629859924316,37.620811462402344,78.97981262207031,51.52519989013672,106.44831085205078,19.992162704467773,58.505157470703125
2015-11-24,33.557498931884766,56.24988555908203,64.78903198242188,14.175761222839355,37.23762893676758,78.4188232421875,51.4481315612793,105.24398803710938,20.400558471679688,58.87478256225586
2015-11-25,33.766998291015625,56.320796966552734,67.89521789550781,14.134940147399902,37.23115539550781,78.35735321044922,51.50978469848633,104.91552734375,20.97486686706543,58.451236724853516
2015-11-27,33.66299819946289,56.108070373535156,67.1229019165039,14.094117164611816,37.336158752441406,78.67243194580078,51.748592376708984,104.95532989501953,20.92381477355957,58.2972297668457
2015-11-30,33.2400016784668,57.23466491699219,67.5302963256836,13.93592357635498,36.9549674987793,77.80400848388672,51.3711051940918,103.75101470947266,20.911052703857422,57.63492965698242
2015-12-01,33.952999114990234,56.37593460083008,67.46238708496094,14.211481094360352,38.17120361328125,78.66473388671875,52.08757019042969,106.61751556396484,21.453454971313477,58.48204803466797
2015-12-02,33.800498962402344,55.95838165283203,67.32660675048828,13.951234817504883,37.939300537109375,78.4264907836914,51.355690002441406,105.57243347167969,20.994007110595703,58.36653137207031
2015-12-03,33.3125,54.863338470458984,66.45244598388672,13.849181175231934,37.449623107910156,77.45817565917969,50.69314956665039,103.8903579711914,20.668575286865234,58.328025817871094
2015-12-04,33.63199996948242,55.13118362426758,67.54724884033203,13.629753112792969,38.159759521484375,79.1181640625,52.30329895019531,105.68192291259766,20.93019676208496,59.937564849853516
2015-12-07,33.49150085449219,53.85493850708008,67.13142395019531,13.655266761779785,37.98259735107422,79.40250396728516,51.61763381958008,105.11458587646484,20.840858459472656,60.35342788696289
2015-12-08,33.86650085449219,52.421104431152344,67.25870513916016,13.543001174926758,37.938804626464844,78.71085357666016,50.8164176940918,105.99046325683594,20.757904052734375,59.87594985961914
2015-12-09,33.239498138427734,51.9247932434082,67.2502212524414,13.558318138122559,37.403343200683594,78.50337219238281,50.43120574951172,104.10932922363281,20.604761123657227,59.83744430541992
2015-12-10,33.11600112915039,52.29505157470703,66.7070541381836,13.512392044067383,37.296348571777344,78.87989807128906,50.54677200317383,104.92548370361328,20.64942169189453,59.90676498413086
2015-12-11,32.00749969482422,51.546634674072266,65.48497009277344,13.236833572387695,36.769344329833984,78.14216613769531,49.36033248901367,101.6409683227539,20.457992553710938,59.8990478515625
2015-12-14,32.89550018310547,52.0902214050293,66.99561309814453,12.99189567565918,37.21224594116211,78.50337219238281,49.514408111572266,104.16905975341797,20.534561157226562,60.291812896728516
